project_name,continent,country,country_code,ecosystem,activity,activity_type,price_type,project_size_ha,project_size_filter,abatement_potential,total_cost_npv,total_cost,capex_npv,capex,opex_npv,opex,cost_per_tco2e,cost_per_tco2e_npv,feasibility_analysis_npv,feasibility_analysis,conservation_planning_npv,conservation_planning,data_collection_npv,data_collection,community_representation_npv,community_representation,blue_carbon_project_planning_npv,blue_carbon_project_planning,establishing_carbon_rights_npv,establishing_carbon_rights,validation_npv,validation,implementation_labor_npv,implementation_labor,monitoring_npv,maintenance_npv,monitoring,maintenance,monitoring_maintenance_npv,monitoring_maintenance,community_benefit_npv,community_benefit,carbon_standard_fees_npv,carbon_standard_fees,baseline_reassessment_npv,baseline_reassessment,mrv_npv,mrv,long_term_project_operating_npv,long_term_project_operating,initial_price_assumption,leftover_after_opex,leftover_after_opex_NPV,total_revenue,total_revenu_npv,credits_issued
Indonesia Salt marsh Conservation Medium,Asia,Indonesia,IDN,Salt marsh,Conservation,,Market price,4000,Medium,0,3238026,4913259,1288099,1371800,1949926,3541459,26,26,50000,50000,629559,667067,76963,80000,268724,284733,88900,100000,129504,140000,44450,50000,0,0,181226,0,300000,0,181226,300000,1193465,2268779,13169,24680,75812,120000,167296,300000,318958,528000,30,996099,437004,4537558,2386930,123401
Indonesia Salt marsh Conservation Large,Asia,Indonesia,IDN,Salt marsh,Conservation,,Opex breakeven,8000,Large,0,2827359,4132228,1288099,1371800,1539260,2760428,11,11,50000,50000,629559,667067,76963,80000,268724,284733,88900,100000,129504,140000,44450,50000,0,0,181226,0,300000,0,181226,300000,769630,1463068,26337,49360,75812,120000,167296,300000,318958,528000,9.673054559,165708,0,2926136,1539260,246801
Indonesia Salt marsh Conservation Large,Asia,Indonesia,IDN,Salt marsh,Conservation,,Market price,8000,Large,0,4444659,7206718,1288099,1371800,3156560,5834918,18,18,50000,50000,629559,667067,76963,80000,268724,284733,88900,100000,129504,140000,44450,50000,0,0,181226,0,300000,0,181226,300000,2386930,4537558,26337,49360,75812,120000,167296,300000,318958,528000,30,3240198,1617300,9075116,4773860,246801
Australia Mangrove Restoration Planting Small,Oceania,Australia,AUS,Mangrove,Restoration,Planting,Opex breakeven,100,Small,503833,4737198,6447647,2369945,2581117,2367253,3866530,508,508,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,800097,900000,485686,184954,804000,224910,670640,1028910,118363,199755,1127,1865,75812,120000,223062,400000,1278249,2116000,365.0862859,128571,0,3995101,2367253,9325
Australia Mangrove Restoration Hydrology Small,Oceania,Australia,AUS,Mangrove,Restoration,Hydrology,Opex breakeven,100,Small,503833,5179622,6955399,2725544,2981117,2454078,3974283,444,444,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,1155695,1300000,485686,267156,804000,324870,752842,1128870,122704,207082,1408,2331,75812,120000,223062,400000,1278249,2116000,302.7813827,167349,0,4141632,2454078,11656
Australia Mangrove Restoration Planting Small,Oceania,Australia,AUS,Mangrove,Restoration,Planting,Market price,100,Small,503833,4628562,6264306,2369945,2581117,2258617,3683189,496,496,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,800097,900000,485686,184954,804000,224910,670640,1028910,9726,16414,1127,1865,75812,120000,223062,400000,1278249,2116000,30,-3354902,-2064094,328287,194523,9325
Australia Mangrove Restoration Hydrology Small,Oceania,Australia,AUS,Mangrove,Restoration,Hydrology,Market price,100,Small,503833,5069076,6768836,2725544,2981117,2343532,3787719,435,435,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,1155695,1300000,485686,267156,804000,324870,752842,1128870,12158,20518,1408,2331,75812,120000,223062,400000,1278249,2116000,30,-3377360,-2100379,410359,243153,11656
Australia Mangrove Restoration Planting Medium,Oceania,Australia,AUS,Mangrove,Restoration,Planting,Opex breakeven,500,Medium,503833,8625222,11021640,5493400,6181117,3131822,4840524,190,190,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,3923551,4500000,485686,906988,804000,1124550,1392674,1928550,156591,266882,5434,9092,75812,120000,223062,400000,1278249,2116000,99.71049229,497118,0,5337642,3131822,45458
Australia Mangrove Restoration Hydrology Medium,Oceania,Australia,AUS,Mangrove,Restoration,Hydrology,Opex breakeven,500,Medium,503833,10794775,13559994,7237201,8181117,3557574,5378878,190,190,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,5667352,6500000,485686,1310094,804000,1624350,1795780,2428350,177879,303163,6792,11365,75812,120000,223062,400000,1278249,2116000,90.6124126,684383,0,6063261,3557574,56823
Australia Mangrove Restoration Planting Medium,Oceania,Australia,AUS,Mangrove,Restoration,Planting,Market price,500,Medium,503833,8515745,10835055,5493400,6181117,3022345,4653939,187,187,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,3923551,4500000,485686,906988,804000,1124550,1392674,1928550,47114,80297,5434,9092,75812,120000,223062,400000,1278249,2116000,30,-3047997,-2080070,1605942,942275,45458
Australia Mangrove Restoration Hydrology Medium,Oceania,Australia,AUS,Mangrove,Restoration,Hydrology,Market price,500,Medium,503833,10675788,13357203,7237201,8181117,3438588,5176086,188,188,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,5667352,6500000,485686,1310094,804000,1624350,1795780,2428350,58892,100371,6792,11365,75812,120000,223062,400000,1278249,2116000,30,-3168659,-2260745,2007427,1177843,56823
Australia Mangrove Restoration Planting Large,Oceania,Australia,AUS,Mangrove,Restoration,Planting,Opex breakeven,1000,Large,503833,13217337,16816564,9197906,10761117,4019431,6055447,153,153,70000,70000,629559,667067,153925,160000,313632,339050,102235,115000,333011,360000,44450,50000,7551095,9000000,485686,1745549,804000,2249100,2231235,3053100,200972,349096,10101,17251,75812,120000,223062,400000,1278249,2116000,68.27668708,926473,0,6981920,4019431,86254
Australia Mangrove Restoration Hydrology Large,Oceania,Australia,AUS,Mangrove,Restoration,Hydrology,Opex breakeven,1000,Large,503833,17392669,21891633,12553948,14761117,4838721,7130517,161,161,70000,70000,629559,667067,153925,160000,313632,339050,102235,115000,333011,360000,44450,50000,10907137,13000000,485686,2521349,804000,3248700,3007035,4052700,241936,420253,12626,21564,75812,120000,223062,400000,1278249,2116000,65.75493869,1274543,0,8405060,4838721,107818
Australia Mangrove Restoration Planting Large,Oceania,Australia,AUS,Mangrove,Restoration,Planting,Market price,1000,Large,503833,13104670,16620856,9197906,10761117,3906764,5859740,152,152,70000,70000,629559,667067,153925,160000,313632,339050,102235,115000,333011,360000,44450,50000,7551095,9000000,485686,1745549,804000,2249100,2231235,3053100,88305,153389,10101,17251,75812,120000,223062,400000,1278249,2116000,30,-2791964,-2140672,3067776,1766092,86254
Australia Mangrove Restoration Hydrology Large,Oceania,Australia,AUS,Mangrove,Restoration,Hydrology,Market price,1000,Large,503833,17261114,21663116,12553948,14761117,4707165,6902000,160,160,70000,70000,629559,667067,153925,160000,313632,339050,102235,115000,333011,360000,44450,50000,10907137,13000000,485686,2521349,804000,3248700,3007035,4052700,110381,191736,12626,21564,75812,120000,223062,400000,1278249,2116000,30,-3067280,-2499550,3834720,2207615,107818
Australia Mangrove Conservation Small,Oceania,Australia,AUS,Mangrove,Conservation,,Opex breakeven,4000,Small,1075527,3749410,5330153,1569849,1681117,2179562,3649036,55,55,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,0,804000,0,485686,804000,108978,195327,7774,13710,75812,120000,223062,400000,1278249,2116000,47.51416185,257499,0,3906535,2179562,68548
Australia Mangrove Conservation Small,Oceania,Australia,AUS,Mangrove,Conservation,,Market price,4000,Small,1075527,3709240,5258154,1569849,1681117,2139391,3577037,54,54,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,0,804000,0,485686,804000,68808,123328,7774,13710,75812,120000,223062,400000,1278249,2116000,30,-1110487,-763236,2466550,1376155,68548
Australia Mangrove Conservation Medium,Oceania,Australia,AUS,Mangrove,Conservation,,Opex breakeven,20000,Medium,1075527,3782144,5387925,1569849,1681117,2212295,3706808,11,11,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,0,804000,0,485686,804000,110615,198260,38871,68548,75812,120000,223062,400000,1278249,2116000,9.645550704,258398,0,3965206,2212295,342741
Australia Mangrove Conservation Medium,Oceania,Australia,AUS,Mangrove,Conservation,,Market price,20000,Medium,1075527,4015568,5806302,1569849,1681117,2445719,4125186,12,12,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,0,804000,0,485686,804000,344039,616638,38871,68548,75812,120000,223062,400000,1278249,2116000,30,8207565,4435056,12332751,6880775,342741
Australia Mangrove Conservation Large,Oceania,Australia,AUS,Mangrove,Conservation,,Opex breakeven,40000,Large,1075527,5061860,7285394,1961017,2097408,3100843,5187986,7,7,70000,70000,786949,833833,153925,160000,470447,508575,102235,115000,333011,360000,44450,50000,0,0,971373,0,1608000,0,971373,1608000,155042,277890,77743,137096,75812,120000,223062,400000,1597812,2645000,6.759797118,369807,0,5557793,3100843,685481
Australia Mangrove Conservation Large,Oceania,Australia,AUS,Mangrove,Conservation,,Market price,40000,Large,1075527,5594895,8240780,1961017,2097408,3633878,6143371,8,8,70000,70000,786949,833833,153925,160000,470447,508575,102235,115000,333011,360000,44450,50000,0,0,971373,0,1608000,0,971373,1608000,688077,1233275,77743,137096,75812,120000,223062,400000,1597812,2645000,30,18522130,10127672,24665501,13761550,685481
Australia Seagrass Restoration Planting Small,Oceania,Australia,AUS,Seagrass,Restoration,Planting,Opex breakeven,100,Small,297424,6466464,8431196,3761525,4146455,2704939,4284741,3204,3204,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,2191676,2465338,485686,506639,804000,616088,992325,1420088,135247,228250,244,404,75812,120000,223062,400000,1278249,2116000,1927.516102,280257,0,4564998,2704939,2018
Australia Seagrass Restoration Planting Small,Oceania,Australia,AUS,Seagrass,Restoration,Planting,Market price,100,Small,297424,6333322,8206499,3761525,4146455,2571797,4060044,3138,3138,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,2191676,2465338,485686,506639,804000,616088,992325,1420088,2105,3552,244,404,75812,120000,223062,400000,1278249,2116000,30,-3988994,-2529697,71050,42100,2018
Australia Seagrass Restoration Planting Medium,Oceania,Australia,AUS,Seagrass,Restoration,Planting,Opex breakeven,500,Medium,297424,17105351,20938216,12317492,14007806,4787858,6930411,1739,1739,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,10747644,12326689,485686,2484480,804000,3080440,2970166,3884440,239393,408003,1176,1968,75812,120000,223062,400000,1278249,2116000,704.3276042,1229654,0,8160065,4787858,9838
Australia Seagrass Restoration Planting Medium,Oceania,Australia,AUS,Seagrass,Restoration,Planting,Market price,500,Medium,297424,16876154,20547592,12317492,14007806,4558662,6539786,1715,1715,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,10747644,12326689,485686,2484480,804000,3080440,2970166,3884440,10197,17378,1176,1968,75812,120000,223062,400000,1278249,2116000,30,-6192218,-4354729,347568,203933,9838
Australia Seagrass Restoration Planting Large,Oceania,Australia,AUS,Seagrass,Restoration,Planting,Opex breakeven,1000,Large,297424,29538116,36645039,22331256,26414495,7206860,10230544,1582,1582,70000,70000,629559,667067,153925,160000,313632,339050,102235,115000,333011,360000,44450,50000,20684445,24653378,485686,4781521,804000,6160879,5267207,6964879,360343,625931,2186,3734,75812,120000,223062,400000,1278249,2116000,565.6445293,2288073,0,12518617,7206860,18668
Australia Seagrass Restoration Planting Large,Oceania,Australia,AUS,Seagrass,Restoration,Planting,Market price,1000,Large,297424,29196884,36052305,22331256,26414495,6865628,9637810,1564,1564,70000,70000,629559,667067,153925,160000,313632,339050,102235,115000,333011,360000,44450,50000,20684445,24653378,485686,4781521,804000,6160879,5267207,6964879,19111,33197,2186,3734,75812,120000,223062,400000,1278249,2116000,30,-8973862,-6483399,663948,382229,18668
Australia Seagrass Conservation Small,Oceania,Australia,AUS,Seagrass,Conservation,,Opex breakeven,400,Small,4743078,3742063,5328064,1569849,1681117,2172214,3646948,506,506,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,0,804000,0,485686,804000,108611,205467,794,1480,75812,120000,223062,400000,1278249,2116000,453.738445,462398,0,4109346,2172214,7402
Australia Seagrass Conservation Small,Oceania,Australia,AUS,Seagrass,Conservation,,Market price,400,Small,4743078,3640633,5136182,1569849,1681117,2070784,3455065,492,492,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,0,804000,0,485686,804000,7181,13585,794,1480,75812,120000,223062,400000,1278249,2116000,30,-3183366,-1927163,271699,143621,7402
Australia Seagrass Conservation Medium,Oceania,Australia,AUS,Seagrass,Conservation,,Opex breakeven,2000,Medium,4743078,3745405,5334302,1569849,1681117,2175557,3653186,101,101,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,0,804000,0,485686,804000,108778,205783,3970,7402,75812,120000,223062,400000,1278249,2116000,90.88733939,462484,0,4115670,2175557,37011
Australia Seagrass Conservation Medium,Oceania,Australia,AUS,Seagrass,Conservation,,Market price,2000,Medium,4743078,3672533,5196444,1569849,1681117,2102684,3515327,99,99,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,0,804000,0,485686,804000,35905,67925,3970,7402,75812,120000,223062,400000,1278249,2116000,30,-2156831,-1384578,1358496,718106,37011
Australia Seagrass Conservation Large,Oceania,Australia,AUS,Seagrass,Conservation,,Opex breakeven,4000,Large,4743078,3749584,5342100,1569849,1681117,2179735,3660983,51,51,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,0,804000,0,485686,804000,108987,206179,7939,14804,75812,120000,223062,400000,1278249,2116000,45.53095119,462592,0,4123575,2179735,74022
Australia Seagrass Conservation Large,Oceania,Australia,AUS,Seagrass,Conservation,,Market price,4000,Large,4743078,3712408,5271771,1569849,1681117,2142559,3590654,50,50,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,0,804000,0,485686,804000,71811,135850,7939,14804,75812,120000,223062,400000,1278249,2116000,30,-873662,-706348,2716992,1436211,74022
Australia Salt marsh Restoration Planting Small,Oceania,Australia,AUS,Salt marsh,Restoration,Planting,Opex breakeven,100,Small,118798,5454816,7270657,2947636,3230940,2507181,4039717,1277,1277,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,1377787,1549823,485686,318496,804000,387301,804182,1191301,125359,211563,516,854,75812,120000,223062,400000,1278249,2116000,844.2152569,191534,0,4231251,2507181,4271
Australia Salt marsh Restoration Hydrology Small,Oceania,Australia,AUS,Salt marsh,Restoration,Hydrology,Opex breakeven,100,Small,118798,6216306,8144399,3559986,3919750,2656321,4224650,1164,1164,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,1990137,2238633,485686,460050,804000,559434,945736,1363434,132816,224147,645,1068,75812,120000,223062,400000,1278249,2116000,715.5467867,258297,0,4482947,2656321,5339
Australia Salt marsh Restoration Planting Small,Oceania,Australia,AUS,Salt marsh,Restoration,Planting,Market price,100,Small,118798,5333912,7066613,2947636,3230940,2386276,3835673,1249,1249,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,1377787,1549823,485686,318496,804000,387301,804182,1191301,4455,7518,516,854,75812,120000,223062,400000,1278249,2116000,30,-3685311,-2297181,150362,89095,4271
Australia Salt marsh Restoration Hydrology Small,Oceania,Australia,AUS,Salt marsh,Restoration,Hydrology,Market price,100,Small,118798,6089058,7929650,3559986,3919750,2529073,4009900,1141,1141,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,1990137,2238633,485686,460050,804000,559434,945736,1363434,5568,9398,645,1068,75812,120000,223062,400000,1278249,2116000,30,-3821948,-2417704,187952,111369,5339
Australia Salt marsh Restoration Planting Medium,Oceania,Australia,AUS,Salt marsh,Restoration,Planting,Opex breakeven,500,Medium,118798,12144362,15136260,8326304,9430232,3818058,5706028,583,583,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,6756455,7749115,485686,1561857,804000,1936504,2047543,2740504,190903,325360,2489,4164,75812,120000,223062,400000,1278249,2116000,265.4012497,801182,0,6507210,3818058,20821
Australia Salt marsh Restoration Hydrology Medium,Oceania,Australia,AUS,Salt marsh,Restoration,Hydrology,Opex breakeven,500,Medium,118798,15878579,19504343,11329173,12874283,4549406,6630061,610,610,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,9759325,11193166,485686,2256015,804000,2797172,2741701,3601172,227470,387683,3111,5205,75812,120000,223062,400000,1278249,2116000,252.9910401,1123603,0,7753664,4549406,26026
Australia Salt marsh Restoration Planting Medium,Oceania,Australia,AUS,Salt marsh,Restoration,Planting,Market price,500,Medium,118798,11975038,14847677,8326304,9430232,3648734,5417446,575,575,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,6756455,7749115,485686,1561857,804000,1936504,2047543,2740504,21579,36778,2489,4164,75812,120000,223062,400000,1278249,2116000,30,-4681894,-3217155,735552,431579,20821
Australia Salt marsh Restoration Hydrology Medium,Oceania,Australia,AUS,Salt marsh,Restoration,Hydrology,Market price,500,Medium,118798,15678082,19162632,11329173,12874283,4348909,6288349,602,602,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,9759325,11193166,485686,2256015,804000,2797172,2741701,3601172,26974,45972,3111,5205,75812,120000,223062,400000,1278249,2116000,30,-5368910,-3809435,919439,539474,26026
Australia Salt marsh Restoration Planting Large,Oceania,Australia,AUS,Salt marsh,Restoration,Planting,Opex breakeven,1000,Large,118798,19990323,25044075,14649990,17259347,5340333,7784728,506,506,70000,70000,629559,667067,153925,160000,313632,339050,102235,115000,333011,360000,44450,50000,13003178,15498230,485686,3005881,804000,3873008,3491567,4677008,267017,463819,4626,7901,75812,120000,223062,400000,1278249,2116000,198.0582484,1491654,0,9276382,5340333,39506
Australia Salt marsh Restoration Hydrology Large,Oceania,Australia,AUS,Salt marsh,Restoration,Hydrology,Opex breakeven,1000,Large,118798,27176991,33777731,20429180,24147449,6747811,9630282,550,550,70000,70000,629559,667067,153925,160000,313632,339050,102235,115000,333011,360000,44450,50000,18782369,22386332,485686,4341828,804000,5594344,4827514,6398344,337391,586061,5783,9877,75812,120000,223062,400000,1278249,2116000,200.2061695,2090947,0,11721229,6747811,49383
Australia Salt marsh Restoration Planting Large,Oceania,Australia,AUS,Salt marsh,Restoration,Planting,Market price,1000,Large,118798,19763751,24650510,14649990,17259347,5113762,7391164,500,500,70000,70000,629559,667067,153925,160000,313632,339050,102235,115000,333011,360000,44450,50000,13003178,15498230,485686,3005881,804000,3873008,3491567,4677008,40445,70255,4626,7901,75812,120000,223062,400000,1278249,2116000,30,-5986065,-4304859,1405099,808903,39506
Australia Salt marsh Restoration Hydrology Large,Oceania,Australia,AUS,Salt marsh,Restoration,Hydrology,Market price,1000,Large,118798,26890157,33279488,20429180,24147449,6460977,9132040,545,545,70000,70000,629559,667067,153925,160000,313632,339050,102235,115000,333011,360000,44450,50000,18782369,22386332,485686,4341828,804000,5594344,4827514,6398344,50556,87819,5783,9877,75812,120000,223062,400000,1278249,2116000,30,-7375666,-5449848,1756374,1011129,49383
Australia Salt marsh Conservation Small,Oceania,Australia,AUS,Salt marsh,Conservation,,Opex breakeven,800,Small,2542546,3743999,5332706,1569849,1681117,2174151,3651589,152,152,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,0,804000,0,485686,804000,108708,206653,2634,4936,75812,120000,223062,400000,1278249,2116000,136.6284647,481475,0,4133064,2174151,24680
Australia Salt marsh Conservation Small,Oceania,Australia,AUS,Salt marsh,Conservation,,Market price,800,Small,2542546,3659161,5171428,1569849,1681117,2089312,3490312,148,148,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,0,804000,0,485686,804000,23869,45376,2634,4936,75812,120000,223062,400000,1278249,2116000,30,-2582800,-1611926,907512,477386,24680
Australia Salt marsh Conservation Medium,Oceania,Australia,AUS,Salt marsh,Conservation,,Opex breakeven,4000,Medium,2542546,3755089,5353504,1569849,1681117,2185240,3672387,30,30,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,0,804000,0,485686,804000,109262,207707,13169,24680,75812,120000,223062,400000,1278249,2116000,27.46506989,481758,0,4154145,2185240,123401
Australia Salt marsh Conservation Medium,Oceania,Australia,AUS,Salt marsh,Conservation,,Market price,4000,Medium,2542546,3765173,5372675,1569849,1681117,2195325,3691558,31,31,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,0,804000,0,485686,804000,119347,226878,13169,24680,75812,120000,223062,400000,1278249,2116000,30,846000,191605,4537558,2386930,123401
Australia Salt marsh Conservation Large,Oceania,Australia,AUS,Salt marsh,Conservation,,Opex breakeven,8000,Large,2542546,3768951,5379502,1569849,1681117,2199102,3698385,15,15,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,0,804000,0,485686,804000,109955,209025,26337,49360,75812,120000,223062,400000,1278249,2116000,13.81964554,482111,0,4180496,2199102,246801
Australia Salt marsh Conservation Large,Oceania,Australia,AUS,Salt marsh,Conservation,,Market price,8000,Large,2542546,3897688,5624233,1569849,1681117,2327840,3943116,16,16,70000,70000,629559,667067,76963,80000,313632,339050,102235,115000,333011,360000,44450,50000,0,0,485686,0,804000,0,485686,804000,238693,453756,26337,49360,75812,120000,223062,400000,1278249,2116000,30,5132000,2446020,9075116,4773860,246801
The Bahamas Mangrove Restoration Planting Small,North America,The Bahamas,BHS,Mangrove,Restoration,Planting,Opex breakeven,100,Small,73816,19263461,29953065,3882949,4285867,15380512,25667199,2007,2007,70000,70000,629559,667067,76963,80000,286112,309300,111125,125000,296010,320000,44450,50000,2368731,2664500,402322,547568,666000,665859,949890,1331859,13073435,22063420,1160,1920,75812,120000,223062,400000,1057153,1750000,2304.039505,289766,0,25956965,15380512,9600
The Bahamas Mangrove Restoration Hydrology Small,North America,The Bahamas,BHS,Mangrove,Restoration,Hydrology,Opex breakeven,100,Small,73816,22544600,34623530,5173416,5737467,17371185,28886063,1879,1879,70000,70000,629559,667067,76963,80000,286112,309300,111125,125000,296010,320000,44450,50000,3659198,4116100,402322,845879,666000,1028613,1248201,1694613,14765507,24919050,1450,2400,75812,120000,223062,400000,1057153,1750000,2081.797822,430466,-1,29316529,17371184,12000
The Bahamas Mangrove Restoration Planting Small,North America,The Bahamas,BHS,Mangrove,Restoration,Planting,Market price,100,Small,73816,6360250,8176924,3882949,4285867,2477301,3891058,663,663,70000,70000,629559,667067,76963,80000,286112,309300,111125,125000,296010,320000,44450,50000,2368731,2664500,402322,547568,666000,665859,949890,1331859,170224,287279,1160,1920,75812,120000,223062,400000,1057153,1750000,30,-3553082,-2277037,337976,200264,9600
The Bahamas Mangrove Restoration Hydrology Small,North America,The Bahamas,BHS,Mangrove,Restoration,Hydrology,Market price,100,Small,73816,7991874,10063579,5173416,5737467,2818458,4326112,666,666,70000,70000,629559,667067,76963,80000,286112,309300,111125,125000,296010,320000,44450,50000,3659198,4116100,402322,845879,666000,1028613,1248201,1694613,212780,359099,1450,2400,75812,120000,223062,400000,1057153,1750000,30,-3903643,-2568128,422469,250330,12000
The Bahamas Mangrove Restoration Planting Medium,North America,The Bahamas,BHS,Mangrove,Restoration,Planting,Opex breakeven,500,Medium,73816,42790986,64187519,13130109,14943867,29660877,49243653,914,914,70000,70000,629559,667067,76963,80000,286112,309300,111125,125000,296010,320000,44450,50000,11615891,13322500,402322,2685189,666000,3329293,3087511,3995293,25211745,42969000,5594,9360,75812,120000,223062,400000,1057153,1750000,917.2675595,1308112,0,50551765,29660877,46800
The Bahamas Mangrove Restoration Hydrology Medium,North America,The Bahamas,BHS,Mangrove,Restoration,Hydrology,Opex breakeven,500,Medium,73816,58881034,87403313,19458361,22201867,39422673,65201446,1007,1007,70000,70000,629559,667067,76963,80000,286112,309300,111125,125000,296010,320000,44450,50000,17944144,20580500,402322,4148059,666000,5143067,4550381,5809067,33509271,57110679,6993,11700,75812,120000,223062,400000,1057153,1750000,975.3221774,1987588,-1,67189034,39422672,58500
The Bahamas Mangrove Restoration Planting Medium,North America,The Bahamas,BHS,Mangrove,Restoration,Planting,Market price,500,Medium,73816,18403812,22623856,13130109,14943867,5273703,7679990,393,393,70000,70000,629559,667067,76963,80000,286112,309300,111125,125000,296010,320000,44450,50000,11615891,13322500,402322,2685189,666000,3329293,3087511,3995293,824571,1405337,5594,9360,75812,120000,223062,400000,1057153,1750000,30,-6026652,-4303619,1653338,970084,46800
The Bahamas Mangrove Restoration Hydrology Medium,North America,The Bahamas,BHS,Mangrove,Restoration,Hydrology,Market price,500,Medium,73816,26402477,32049305,19458361,22201867,6944115,9847438,451,451,70000,70000,629559,667067,76963,80000,286112,309300,111125,125000,296010,320000,44450,50000,17944144,20580500,402322,4148059,666000,5143067,4550381,5809067,1030714,1756671,6993,11700,75812,120000,223062,400000,1057153,1750000,30,-7780766,-5731510,2066672,1212605,58500
The Bahamas Mangrove Restoration Planting Large,North America,The Bahamas,BHS,Mangrove,Restoration,Planting,Opex breakeven,1000,Large,73816,70190241,106236755,23946616,28346367,46243625,77890388,790,790,70000,70000,629559,667067,153925,160000,286112,309300,111125,125000,296010,320000,44450,50000,22355436,26645000,402322,5167796,666000,6658586,5570118,7324586,39307081,68278043,10399,17760,75812,120000,223062,400000,1057153,1750000,763.0060981,2436721,-1,80327109,46243624,88800
The Bahamas Mangrove Restoration Hydrology Large,North America,The Bahamas,BHS,Mangrove,Restoration,Hydrology,Opex breakeven,1000,Large,73816,101155831,152122757,36125693,42862367,65030137,109260390,911,911,70000,70000,629559,667067,153925,160000,286112,309300,111125,125000,296010,320000,44450,50000,34534513,41161000,402322,7983174,666000,10286134,8385496,10952134,55275616,96016056,12999,22200,75812,120000,223062,400000,1057153,1750000,858.3823849,3699676,-1,112960066,65030136,111000
The Bahamas Mangrove Restoration Planting Large,North America,The Bahamas,BHS,Mangrove,Restoration,Planting,Market price,1000,Large,73816,32428643,40643280,23946616,28346367,8482027,12296913,365,365,70000,70000,629559,667067,153925,160000,286112,309300,111125,125000,296010,320000,44450,50000,22355436,26645000,402322,5167796,666000,6658586,5570118,7324586,1545482,2684567,10399,17760,75812,120000,223062,400000,1057153,1750000,30,-9138598,-6663813,3158315,1818214,88800
The Bahamas Mangrove Restoration Hydrology Large,North America,The Bahamas,BHS,Mangrove,Restoration,Hydrology,Market price,1000,Large,73816,47812068,59462410,36125693,42862367,11686374,16600043,431,431,70000,70000,629559,667067,153925,160000,286112,309300,111125,125000,296010,320000,44450,50000,34534513,41161000,402322,7983174,666000,10286134,8385496,10952134,1931853,3355709,12999,22200,75812,120000,223062,400000,1057153,1750000,30,-12652150,-9413606,3947893,2272768,111000
